,comment_id,treated,nltk_com_sen_pos,nltk_com_sen_neg,nltk_com_sen_neutral,nltk_sub_sen_pos,nltk_sub_sen_neg,nltk_sub_sen_neutral,nltk_title_sen_pos,nltk_title_sen_neg,nltk_title_sen_neutral,nltk_sim_sen,percent_adj,topic_model_0,topic_model_1,topic_model_2,topic_model_3,topic_model_4,topic_model_5,topic_model_6,topic_model_7,topic_model_8,topic_model_9,topic_model_10,topic_model_11,topic_model_12,topic_model_13,topic_model_14,Unnamed: 0_y,submmiter_commenter_tfidf_cos_sim,delta,comment_depth,commenter_number_submission,submitter_number_submission,number_of_comments_in_tree_from_submitter,number_of_respond_by_submitter_total,respond_to_comment_user_responses_ratio,submitter_seniority_days,is_first_comment_in_tree,commenter_number_comment,submitter_number_comment,number_of_comments_in_tree_by_comment_user,number_of_respond_by_submitter,respond_to_comment_user_all_ratio,respond_total_ratio,commenter_seniority_days,time_ratio,comment_len,submission_len,title_len,time_between_messages,time_until_first_comment,time_between_comment_first_comment
0,cmpt6sy,0.0,0.057999999999999996,0.255,0.6859999999999999,0.115,0.135,0.75,0.0,0.188,0.812,0.981962823377286,0.05460385438972163,0.0800081267952919,0.00015873047232162207,0.023862378671765327,0.3839450180530548,0.00015873080701567233,0.006584194954484701,0.004344374407082796,0.0124649154022336,0.00015873038501013068,0.00015873026859480888,0.3457998037338257,0.1253451406955719,0.00015873051597736776,0.016693642362952232,0.00015873055963311344,0,0.33455353204300003,1,0,0,1,0,0,0.0,1210,1,0,0,0,0,0.0,0.0,1210,0.456287008011146,4436,8054,205,0.47,1310.0,1561.0
1,dq686l0,0.0,0.184,0.008,0.8079999999999999,0.022000000000000002,0.13699999999999998,0.8420000000000001,0.0,0.11900000000000001,0.8809999999999999,0.9692912606096564,0.04824561403508772,0.0006349210161715746,0.05142122879624367,0.029365887865424163,0.23467546701431274,0.10032068938016893,0.04907410591840744,0.045051734894514084,0.0006349213072098793,0.0006349264294840394,0.0006349243340082468,0.3945291340351105,0.0006349213072098793,0.0006349216564558446,0.0006349219474941492,0.0911172702908516,1,0.13046762719799998,1,2,0,1,4,4,0.25,132,0,10,4,1,1,0.043478260869565216,0.17391304347826084,135,0.18139675501360475,1199,527,131,2.45,1800.0,8123.0
2,dq68rme,0.0,0.165,0.084,0.75,0.022000000000000002,0.13699999999999998,0.8420000000000001,0.0,0.11900000000000001,0.8809999999999999,0.9808968097348332,0.0896551724137931,0.012866329401731493,0.010858765803277493,0.03142938017845154,0.320894330739975,0.15492139756679535,0.00044742837781086564,0.0993911549448967,0.00891707558184862,0.03995697945356369,0.013139001093804836,0.22099144756793976,0.00044742785394191737,0.03877658024430275,0.00044742770842276514,0.046515226364135735,2,0.120253806769,1,2,0,1,4,4,0.25,132,0,1,4,1,1,0.043478260869565216,0.17391304347826084,132,0.1690775878264137,1684,527,131,2.57,1800.0,8846.0
3,cnqrwwn,0.0,0.046,0.048,0.9059999999999999,0.1,0.034,0.866,0.0,0.0,1.0,0.9978457400912666,0.07727272727272727,0.000641027232632041,0.0006410262431018053,0.015422116033732891,0.0006410275818780066,0.0006410262431018053,0.3037493526935577,0.0006410261266864836,0.1830664575099945,0.0006410261848941445,0.0006410265341401099,0.4198477864265442,0.0006410265923477709,0.035766735672950745,0.0006410261848941445,0.036378346383571625,3,0.0548709134358,1,0,3,1,0,0,0.0,1173,1,46,0,0,0,0.0,0.0,1242,1.0,1069,1350,55,2.34,9250.0,0.0
4,dsc35fi,0.0,0.128,0.26899999999999996,0.604,0.18,0.184,0.637,0.214,0.266,0.519,0.988292850264534,0.07734806629834254,0.0008771941065788269,0.06716970354318619,0.0008771963766776025,0.41708481311798096,0.016863083466887474,0.02823017537593842,0.0008771948632784188,0.0008771939319558443,0.0638987347483635,0.016518978402018547,0.0008771948050707579,0.26446256041526794,0.0008771943976171316,0.11963161826133728,0.0008771942812018096,4,0.124313405453,1,0,0,10,3,3,0.0,339,1,1,56,0,0,0.0,0.05555555555555555,86,0.5784602440050484,939,3425,64,0.39,1375.0,1002.0
5,dsc35i2,0.0,0.081,0.239,0.679,0.18,0.184,0.637,0.214,0.266,0.519,0.986742449543508,0.0871559633027523,0.07906106114387512,0.13222341239452362,0.03699932619929314,0.32111507654190063,0.000579711573664099,0.0005797115154564381,0.018191233277320862,0.0005797108169645071,0.0005797111080028117,0.0005797109915874897,0.195366770029068,0.20032088458538053,0.012664251029491423,0.0005797119811177254,0.0005797109915874897,5,0.188307206448,1,2,0,10,3,3,0.3333333333333333,339,0,9,56,1,1,0.018518518518518517,0.05555555555555555,93,0.5779739386296764,1179,3425,64,0.39,1375.0,1004.0
6,czvqmzl,1.0,0.102,0.09699999999999999,0.8009999999999999,0.159,0.034,0.807,0.0,0.0,1.0,0.9946563658374404,0.08660351826792964,0.00019841303583234549,0.020439432933926586,0.005629976745694876,0.7674646973609924,0.03812495991587639,0.0071200854144990436,0.0001984133123187348,0.0001984129921765998,0.01125004142522812,0.037416867911815636,0.008525391109287739,0.017195373773574833,0.036016564816236496,0.00452629616484046,0.04569509625434876,6,0.274343186805,1,0,1,1,9,9,0.0,854,1,291,17,0,0,0.0,0.061224489795918366,1715,0.2797339593114241,4140,2857,67,1.25,1430.0,3682.0
7,diwrq3c,1.0,0.061,0.07200000000000001,0.867,0.079,0.102,0.82,0.0,0.0,1.0,0.9988491927225536,0.10474308300395258,0.00028985581593588,0.03671836107969284,0.06301712989807129,0.19620974361896515,0.0002898559905588627,0.00028985601966269314,0.08121341466903688,0.01894308067858219,0.16325317323207855,0.00028985549579374487,0.1431855857372284,0.02337043173611164,0.2019837349653244,0.015689868479967117,0.05525607243180275,7,0.283950943723,1,0,0,11,1,1,0.0,393,1,144,89,0,0,0.0,0.025,726,0.2425213675213675,2672,1029,106,0.15,227.0,709.0
8,diwud56,1.0,0.12,0.094,0.7859999999999999,0.079,0.102,0.82,0.0,0.0,1.0,0.9984696678250128,0.08108108108108109,0.0009661850053817033,0.0009661857620812954,0.0009661850053817033,0.5608845353126526,0.0009661848307587207,0.0009661864605732262,0.04489455372095108,0.0009661844815127553,0.17943763732910156,0.0009661858784966172,0.1183168962597847,0.0009661858784966172,0.08680446445941925,0.0009661849471740424,0.0009661850053817033,8,0.452437901566,1,4,7,11,5,5,0.0,393,1,1060,93,0,0,0.0,0.125,1448,0.05858064516129032,802,1029,106,1.04,227.0,3648.0
9,cz3sag4,0.0,0.10400000000000001,0.11199999999999999,0.784,0.12,0.187,0.693,0.14400000000000002,0.068,0.7879999999999999,0.9921558731295096,0.054716981132075466,0.00025940348859876394,0.015668489038944244,0.05908507108688355,0.3606330156326294,0.00883682630956173,0.10415349155664444,0.04653766006231308,0.02759229578077793,0.006646079011261463,0.031822104007005685,0.12454697489738464,0.10240057855844498,0.039429038763046265,0.07212954014539719,0.00025940401246771216,9,0.281118502192,1,0,0,1,9,9,0.0,1407,1,74,17,0,0,0.0,0.1153846153846154,1799,0.16574680924456708,2805,4637,150,1.36,961.0,4837.0
