,count,is_written_in_last_month,is_written_in_last_week,max_created_utc,referral_utc,sub_comment_index,time_since_last_post
4,15,True,True,1464541699,1464547697,1464547697,5998
19,7,False,False,1450966590,1478588539,1478588539,27621949
31,2,True,False,1463448719,1465075160,1465075160,1626441
34,712,True,True,1451962886,1452029188,1452029188,66302
748,1,True,True,1478586993,1478598372,1478598372,11379
751,1,True,True,1476890428,1476936098,1476936098,45670
752,1,True,True,1476890428,1476935497,1476935497,45069
753,35,True,True,1473617941,1473633197,1473633197,15256
788,90,True,False,1477061806,1478629588,1478629588,1567782
887,7,True,False,1474535465,1475561438,10,1025973
899,726,True,False,1453343958,1454607188,16,1263230
1625,1,True,False,1479276880,1480168881,17,892001
1629,1,True,False,1451021115,1452373210,21,1352095
1632,33802,True,True,1475761423,1475761954,24,531
35438,5,True,True,1477674817,1477697610,31,22793
35445,1,False,False,1470187910,1473899867,35,3711957
35452,1,True,True,1465419178,1465762851,43,343673
35453,1,True,False,1470498649,1471319355,44,820706
35464,178,True,True,1467776820,1468266920,56,490100
35646,2993,True,True,1478534340,1478535195,62,855
38640,1652,True,True,1480619452,1480642460,65,23008
40292,6,False,False,1433116642,1452285327,66,19168685
40298,2,True,True,1478896701,1478902696,67,5995
40301,711,True,True,1451749594,1451845514,70,95920
41018,10,False,False,1471521823,1477928000,79,6406177
41035,7,False,False,1450966590,1478641092,88,27674502
41046,10,False,False,1453315725,1457024577,94,3708852
41057,2,True,True,1466428949,1466435892,96,6943
41065,17,True,False,1468002810,1470445085,105,2442275
41083,14,True,False,1472557061,1473624674,107,1067613
41097,12,False,False,1456321329,1465473080,108,9151751
41111,711,True,True,1451749594,1451794896,112,45302
41822,697,True,True,1451401920,1451490951,113,89031
42520,2,False,False,1468826737,1472849075,115,4022338
42522,4,False,False,1442603045,1452474477,116,9871432
42526,41,False,False,1472580858,1480284262,117,7703404
42568,73,True,True,1479821667,1479822324,119,657
42645,1,False,False,1469830825,1476462607,124,6631782
42647,1,True,True,1453260444,1453260844,126,400
42657,758,True,True,1460147630,1460405879,139,258249
43421,12,True,False,1476653596,1478491336,146,1837740
43434,575,True,True,1452279441,1452356072,148,76631
44010,1,True,True,1474574247,1475050234,152,475987
44011,2,False,False,1449594344,1472640403,154,23046059
44016,11,True,True,1474522206,1474598458,160,76252
44027,1,False,False,1440441934,1463698945,164,23257011
44031,450,True,True,1480417559,1480457539,169,39980
44484,2,True,True,1464935356,1465068857,173,133501
44493,602,True,True,1453561746,1453603125,182,41379
45097,2674,True,True,1473638414,1473707775,186,69361
47771,40,True,False,1474384222,1475300194,187,915972
47816,1,False,False,1427023089,1451995486,193,24972397
47818,8,True,False,1471612916,1473696308,195,2083392
47836,1,False,False,1432757350,1455754594,210,22997244
47840,6,True,True,1461363776,1461884946,215,521170
47846,7,False,False,1467362862,1471420614,216,4057752
47859,2,True,False,1451891385,1453048502,224,1157117
47864,29,True,False,1473863122,1474572778,228,709656
47895,2,False,False,1445268047,1451871617,231,6603570
47900,411,True,True,1452355354,1452384058,235,28704
48313,14,True,True,1464702898,1464704099,239,1201
48328,37,False,False,1472140092,1477571760,242,5431668
48370,4,False,False,1462407255,1472651716,250,10244461
48376,575,True,True,1452279441,1452354193,255,74752
48951,2144,True,True,1475318150,1475333469,256,15319
51097,1,True,True,1451677762,1452029686,259,351924
51101,8,True,True,1452020661,1452033380,264,12719
51110,1,True,True,1465419178,1465774659,266,355481
51119,680,True,True,1450873376,1450927447,276,54071
51807,41,True,True,1455514103,1455558167,285,44064
51848,1,True,True,1475516860,1475517565,286,705
51849,2,False,False,1450618262,1460643116,287,10024854
51851,1,True,True,1476890428,1476939017,288,48589
51852,5,True,True,1479493842,1479929323,289,435481
51858,5,True,False,1476939309,1477673653,292,734344
51864,1,True,True,1470934924,1470951070,294,16146
51865,1,True,True,1470934924,1470951070,295,16146
51866,3,True,True,1452012409,1452016377,296,3968
51872,689,True,True,1451274907,1451303697,301,28790
52568,1,True,True,1451900450,1452020180,309,119730
52573,5,False,False,1447881446,1463591246,314,15709800
52578,6,True,True,1467686325,1467852712,315,166387
52593,5,True,True,1454525061,1454535511,326,10450
52601,3,True,True,1472841392,1472914194,330,72802
52607,1,False,False,1425666844,1470087438,334,44420594
52608,1,False,False,1425666844,1470087438,335,44420594
52616,3058,True,True,1481561198,1481644195,346,82997
55682,2,True,True,1450927845,1450934745,357,6900
55694,2,True,True,1461314909,1461330062,375,15153
55696,36,True,False,1479238285,1480521249,376,1282964
55732,1,True,True,1470492440,1470517121,378,24681
55734,11,True,True,1461072856,1461175582,380,102726
55767,1,True,True,1474173001,1474204151,408,31150
55778,1,True,True,1466126662,1466127336,422,674
55783,25,True,True,1480576898,1480886052,428,309154
55809,1,False,False,1459030053,1482985145,430,23955092
55814,29412,True,True,1465833689,1465834128,437,439
85233,1,True,True,1472450497,1472472451,446,21954
85234,4,True,True,1459947859,1459974624,447,26765
85243,56047,True,True,1462801475,1462801674,453,199
141292,177,True,True,1463615276,1464040113,456,424837
141474,1,True,True,1454992584,1455046490,466,53906
141502,4,True,True,1459122376,1459438984,496,316608
141507,1,True,True,1461599427,1461684823,498,85396
141509,1,False,False,1448671192,1462660138,501,13988946
141510,1,False,False,1448671192,1462660138,502,13988946
141512,1,True,True,1469651197,1469651267,504,70
141522,5,False,False,1457563631,1470666568,516,13102937
141533,20,True,True,1472999552,1473500436,524,500884
141556,348,True,True,1467245533,1467246106,529,573
141904,3,False,False,1451826755,1456504602,530,4677847
141909,29,True,True,1466516056,1466561514,533,45458
141939,1,False,False,1451741711,1467981131,536,16239420
141952,2,True,True,1464453958,1464456439,550,2481
141957,25,True,False,1477068874,1477917743,556,848869
141986,12,False,False,1465140678,1470806312,562,5665634
142008,1,False,False,1431402756,1451393614,575,19990858
142019,1,True,True,1473330281,1473514832,588,184551
142021,879,True,True,1471021201,1471235175,590,213974
142910,3,True,True,1455064722,1455333436,601,268714
142923,7,True,False,1478624210,1480298695,612,1674485
142934,73058,True,True,1478547638,1478547867,617,229
215993,1,False,False,1427023089,1451984736,619,24961647
215997,5,False,False,1453824988,1479928453,625,26103465
216005,1,True,True,1480826961,1480830401,629,3440
216014,1,True,True,1466411725,1466942365,639,530640
216020,67,True,True,1471774464,1471792291,645,17827
216091,7,True,True,1471947147,1471980786,650,33639
216103,3,True,True,1473100562,1473218995,656,118433
216108,9,True,False,1453983855,1454787998,660,804143
216119,6,True,True,1454425680,1454722388,663,296708
216135,10,True,False,1453315725,1454907708,674,1591983
216148,4,False,False,1420806183,1472407720,678,51601537
216152,1,True,False,1476902613,1477590691,680,688078
216153,2,False,False,1429430173,1466040000,682,36609827
216157,1,False,False,1469660425,1472490367,686,2829942
216158,12,True,False,1448032294,1449589285,687,1556991
216190,91,True,True,1459854217,1459889104,711,34887
216282,7,True,False,1470243553,1471376208,713,1132655
216307,115,True,True,1476630771,1476718949,734,88178
216429,19,True,False,1481598123,1482422369,742,824246
216452,2,True,True,1448992859,1448993503,747,644
216458,4,True,True,1474952002,1474963965,752,11963
216463,1,False,False,1461729960,1468853308,754,7123348
216466,14,True,True,1467258582,1467263211,759,4629
216488,39,True,True,1449028259,1449029994,768,1735
216529,20,True,True,1454835643,1455299241,771,463598
216553,2,False,False,1448899745,1456069183,776,7169438
216556,5,False,False,1457102603,1464358300,778,7255697
216561,7,True,True,1466480129,1466514494,779,34365
216573,5,False,False,1452523961,1455640456,785,3116495
216579,8,True,True,1472601039,1472663525,788,62486
216588,6,True,True,1453710900,1453727718,791,16818
216594,4,True,True,1453267085,1453325521,792,58436
216599,2,True,True,1477418155,1477425246,794,7091
216613,1,True,True,1472046862,1472149588,808,102726
216615,1,True,False,1478387734,1479344383,810,956649
216616,94,True,True,1453460590,1453491220,811,30630
216710,4,True,True,1478314426,1478324503,812,10077
216720,88,True,True,1473607607,1473654925,821,47318
216812,1,True,True,1474484072,1474491527,827,7455
216813,1,True,True,1474484072,1474491527,828,7455
216831,7,False,False,1433424354,1482343581,849,48919227
216839,3,True,True,1476511417,1476858713,851,347296
216851,16,True,True,1471183108,1471356528,861,173420
216875,4,True,True,1466108164,1466117635,871,9471
216882,10,True,True,1451894553,1452290422,875,395869
